Fighter Name,Status,Weight Class
Dominick Cruz,None,bantamweight
Jared Cannonier,None,middleweight
Montel Jackson,None,bantamweight
Rafael Fiziev,None,lightweight
Song Yadong,None,bantamweight
Steve Garcia,None,featherweight
Gregory Rodrigues,None,middleweight
Randy Brown,None,welterweight
Virna Jandiroba,None,women's strawweight
Khalil Rountree Jr.,None,light heavyweight
Shara Magomedov,None,middleweight
Reinier de Ridder,None,middleweight
Nicolas Dalby,None,welterweight
Dominick Reyes,None,light heavyweight
Norma Dumont,None,women's bantamweight
Natalia Silva,None,women's flyweight
Aleksandar Rakic,None,light heavyweight
Asu Almabayev,None,flyweight
Farid Basharat,None,"bantamweight, featherweight"
Kai Kara-France,None,flyweight
Marcin Tybura,None,heavyweight
Miles Johns,None,"bantamweight, featherweight"
Yan Xiaonan,None,women's strawweight
Michel Pereira,None,middleweight
Khaos Williams,None,welterweight
Stephen Thompson,None,welterweight
Benoit Saint Denis,None,"lightweight, welterweight"
Bryan Battle,None,"welterweight, middleweight"
Fares Ziam,None,lightweight
Giga Chikadze,None,featherweight
Mateusz Rebecki,None,lightweight
Tatiana Suarez,None,women's strawweight
Taylor Lapilus,None,bantamweight
Jalin Turner,None,lightweight
Aiemann Zahabi,None,bantamweight
Bryce Mitchell,None,featherweight
Said Nurmagomedov,None,bantamweight
Chris Curtis,None,middleweight
Maycee Barber,None,women's flyweight
Jairzinho Rozenstruik,None,heavyweight
Calvin Kattar,None,featherweight
Ignacio Bahamondes,None,"lightweight, welterweight"
Derrick Lewis,None,heavyweight
Joanderson Brito,None,featherweight
Volkan Oezdemir,None,light heavyweight
Joel Alvarez,None,lightweight
Nasrat Haqparast,None,lightweight
Trey Ogden,None,lightweight
Sean Woodson,None,featherweight
Edson Barboza,None,featherweight
Tatsuro Taira,None,flyweight
Jean Matsumoto,None,bantamweight
Tagir Ulanbekov,None,flyweight
King Green,None,lightweight
Carlos Leal,None,welterweight
Kevin Holland,None,"welterweight, middleweight"
Abus Magomedov,None,middleweight
Daniel Marcos,None,bantamweight
Rose Namajunas,None,"women's strawweight, women's flyweight"
Gabriel Bonfim,None,welterweight
Urijah Faber,None,bantamweight
Charles Johnson,None,flyweight
Andre Muniz,None,middleweight
Elizeu Zaleski dos Santos,None,welterweight
Alexa Grasso,None,women's flyweight
Johnny Walker,None,light heavyweight
Joe Pyfer,None,middleweight
Youssef Zalal,None,featherweight
Muslim Salikhov,None,welterweight
Ikram Aliskerov,None,middleweight
Kyler Phillips,None,bantamweight
Chepe Mariscal,None,"featherweight, lightweight"
Ismael Bonfim,None,lightweight
Jake Matthews,None,welterweight
Kai Asakura,None,flyweight
David Onama,None,"bantamweight, featherweight, lightweight"
Chris Gutierrez,None,bantamweight
JunYong Park,None,middleweight
Amir Albazi,None,flyweight
Vinicius Oliveira,None,bantamweight
Eryk Anders,None,"middleweight, light heavyweight"
Pat Sabatini,None,featherweight
Oban Elliott,None,welterweight
Bo Nickal,None,middleweight
Julianna Pena,C,women's bantamweight
Felipe Lima,None,featherweight
Rodolfo Vieira,None,middleweight
Marcus McGhee,None,bantamweight
Bruno Silva,None,"flyweight, bantamweight"
Esteban Ribovics,None,lightweight
Li Jingliang,None,welterweight
Myktybek Orolbai,None,"lightweight, welterweight"
Joshua Van,None,flyweight
Raquel Pennington,None,women's bantamweight
Jared Gordon,None,"featherweight, lightweight"
Nick Diaz,None,"welterweight, middleweight"
Carlston Harris,None,welterweight
Jonathan Martinez,None,bantamweight
Chase Hooper,None,lightweight
Mike Davis,None,"featherweight, lightweight"
Nathaniel Wood,None,featherweight
Jean Silva,None,"featherweight, lightweight"
Ryan Hall,None,featherweight
Manel Kape,None,flyweight
Julian Erosa,None,featherweight
Daniel Zellhuber,None,lightweight
Jasmine Jasudavicius,None,women's flyweight
Neil Magny,None,welterweight
Santiago Ponzinibbio,None,welterweight
Jim Miller,None,lightweight
David Teymur,None,lightweight
Tecia Pennington,None,women's strawweight
Darren Elkins,None,featherweight
Viviane Araujo,None,women's flyweight
Vitor Petrino,None,light heavyweight
Rafael Dos Anjos,None,"lightweight, welterweight"
Marcos Rogerio de Lima,None,heavyweight
Waldo Cortes-Acosta,None,heavyweight
Dooho Choi,None,featherweight
Rafa Garcia,None,lightweight
Cody Garbrandt,None,bantamweight
Dan Ige,None,"featherweight, lightweight"
Nursulton Ruziboev,None,"welterweight, middleweight"
Mauricio Ruffy,None,"lightweight, welterweight"
Shamil Gaziev,None,heavyweight
Mick Parkin,None,heavyweight
Kyle Nelson,None,featherweight
Amanda Lemos,None,women's strawweight
Tai Tuivasa,None,heavyweight
Chidi Njokuani,None,welterweight
Ryan Spann,None,light heavyweight
Oumar Sy,None,light heavyweight
Modestas Bukauskas,None,"middleweight, light heavyweight"
Rei Tsuruya,None,flyweight
Chris Padilla,None,lightweight
Uros Medic,None,"lightweight, welterweight"
Mike Malott,None,welterweight
Tim Elliott,None,flyweight
Bogdan Guskov,None,light heavyweight
Ramazan Temirov,None,flyweight
Payton Talbott,None,bantamweight
Hyder Amil,None,featherweight
Cub Swanson,None,featherweight
Lyman Good,None,welterweight
Daniel Santos,None,bantamweight
Roman Kopylov,None,middleweight
